"","NMFS_DNA_ID","BOX_ID","BOX_POSITION","SAMPLE_ID","Pop","LENGTH","gender","COLLECTION_DATE","ESTIMATED_DATE","PICKER","PICK_DATE","TRIB_1","TRIB_2","WATER_NAME","REACH_SITE","HATCHERY","LOCATION_COMMENTS_F","Sample_ID","R04944","R04944.1","Omy_AldA","Omy_AldA.1","SexID","SexID.1","SH95489.423","SH95489.423.1","SH100771.63","SH100771.63.1","SH102510.682","SH102510.682.1","SH105115.367","SH105115.367.1","SH108735.311","SH108735.311.1","SH110201.359","SH110201.359.1","SH113128.73","SH113128.73.1","SH117286.374","SH117286.374.1","SH119892.365","SH119892.365.1","SH127645.308","SH127645.308.1","OMGH1PROM1.SNP1","OMGH1PROM1.SNP1.1","Omy_arp.630","Omy_arp.630.1","SH96222.125","SH96222.125.1","SH100974.386","SH100974.386.1","SH102867.443","SH102867.443.1","SH105385.406","SH105385.406.1","SH109243.222","SH109243.222.1","SH110362.585","SH110362.585.1","SH114315.438","SH114315.438.1","SH117370.400","SH117370.400.1","SH120255.332","SH120255.332.1","SH128851.273","SH128851.273.1","Omy_aspAT.123","Omy_aspAT.123.1","Omy_g12.82","Omy_g12.82.1","SH97077.73","SH97077.73.1","SH101554.306","SH101554.306.1","SH103350.395","SH103350.395.1","SH105386.347","SH105386.347.1","SH109525.403","SH109525.403.1","SH110689.148","SH110689.148.1","SH114448.87","SH114448.87.1","SH117540.259","SH117540.259.1","SH120950.569","SH120950.569.1","SH128996.481","SH128996.481.1","Omy_COX1.221","Omy_COX1.221.1","Omy_gh.475","Omy_gh.475.1","SH97954.618","SH97954.618.1","SH101770.410","SH101770.410.1","SH103577.379","SH103577.379.1","SH105714.265","SH105714.265.1","SH109651.445","SH109651.445.1","SH111666.301","SH111666.301.1","SH114587.480","SH114587.480.1","SH117815.81","SH117815.81.1","SH121006.131","SH121006.131.1","SH129870.756","SH129870.756.1","Omy_nramp.146","Omy_nramp.146.1","Omy_gsdf.291","Omy_gsdf.291.1","SH98188.405","SH98188.405.1","SH101832.195","SH101832.195.1","SH103705.558","SH103705.558.1","SH106172.332","SH106172.332.1","SH109693.461","SH109693.461.1","SH112208.328","SH112208.328.1","SH114976.223","SH114976.223.1","SH118175.396","SH118175.396.1","SH123044.128","SH123044.128.1","SH130524.160","SH130524.160.1","Omy_Ogo4.304","Omy_Ogo4.304.1","Omy_mapK3.103","Omy_mapK3.103.1","SH98409.549","SH98409.549.1","SH101993.189","SH101993.189.1","SH104519.624","SH104519.624.1","SH106313.445","SH106313.445.1","SH109874.148","SH109874.148.1","SH112301.202","SH112301.202.1","SH115987.812","SH115987.812.1","SH118654.91","SH118654.91.1","SH125998.61","SH125998.61.1","SH130720.100","SH130720.100.1","OMY_PEPA.INT6","OMY_PEPA.INT6.1","Omy_mcsf.371","Omy_mcsf.371.1","SH98683.165","SH98683.165.1","SH102420.634","SH102420.634.1","SH105075.162","SH105075.162.1","SH107074.217","SH107074.217.1","SH110064.419","SH110064.419.1","SH112820.82","SH112820.82.1","SH116733.349","SH116733.349.1","SH118938.341","SH118938.341.1","SH127236.583","SH127236.583.1","SH131460.646","SH131460.646.1","ONMYCRBF_1.SNP1","ONMYCRBF_1.SNP1.1","SH95318.147","SH95318.147.1","SH99300.202","SH99300.202.1","SH102505.102","SH102505.102.1","SH105105.448","SH105105.448.1","SH107285.69","SH107285.69.1","SH110078.294","SH110078.294.1","SH113109.205","SH113109.205.1","SH117259.96","SH117259.96.1","SH119108.357","SH119108.357.1","SH127510.920","SH127510.920.1","SH131965.120","SH131965.120.1"
"11","M073977","M747","2D","DO051914NFMF006","NFMF",180,13,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073977_M747_2D",4,4,3,3,7,6,1,1,4,4,2,2,2,2,3,3,1,1,3,3,1,1,2,1,1,4,1,1,1,1,1,1,3,3,2,1,3,3,3,3,2,2,2,1,2,4,4,4,1,1,3,1,4,4,4,1,1,1,3,4,3,3,4,4,3,3,1,1,1,1,2,2,2,1,4,4,2,2,1,1,3,1,1,1,1,3,3,3,4,4,1,1,3,3,2,2,1,1,3,3,1,1,3,3,3,3,3,3,2,2,4,1,3,1,1,1,1,1,1,3,2,2,3,1,4,4,4,4,1,4,1,1,2,1,4,4,1,1,3,3,2,2,2,2,1,1,1,1,4,4,3,3,2,2,2,2,2,2,1,1,4,4,1,3,1,1,3,3,1,3,1,1,1,3,4,4,4,4,3,3,2,2,4,4,2,2,3,1,3,3,1,1,3,3
"12","M073978","M747","2E","DO051914NFMF004","NFMF",191,12,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073978_M747_2E",4,4,3,4,6,6,1,1,4,1,1,1,2,2,1,1,2,1,2,3,1,1,2,1,4,4,1,4,3,3,1,1,3,3,2,1,3,3,3,4,4,2,2,1,2,4,4,4,1,1,1,1,2,4,1,1,3,1,3,3,3,3,2,4,4,4,1,1,2,2,2,2,2,1,1,1,4,4,1,1,3,3,1,1,3,3,3,3,4,1,2,1,1,3,2,2,3,3,1,3,1,1,3,3,3,4,3,3,2,1,4,1,3,1,1,1,1,1,3,3,2,2,1,1,4,1,4,4,1,1,3,1,1,1,4,4,1,1,3,3,2,4,2,1,3,3,3,1,4,4,3,4,2,1,2,2,2,4,2,1,4,2,1,3,1,4,2,3,1,3,1,3,1,1,4,4,4,4,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3
"13","M073979","M747","2F","DO051914NFMF018","NFMF",191,13,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073979_M747_2F",4,4,3,3,7,6,3,1,4,4,2,1,2,2,1,3,2,1,3,3,1,1,2,1,4,4,1,4,1,3,1,1,1,1,2,1,3,3,3,3,2,2,2,1,4,4,4,4,4,1,3,1,2,4,1,1,1,1,3,3,3,3,4,4,3,3,1,1,1,1,2,1,2,2,4,1,2,2,1,1,3,1,1,1,1,3,3,3,4,1,2,1,3,3,2,2,1,3,3,3,3,1,3,3,3,3,3,3,2,2,1,1,3,1,1,1,1,1,1,1,2,3,1,1,4,1,4,4,1,4,1,1,2,2,4,4,1,1,3,3,2,2,2,1,1,3,3,1,4,4,3,3,2,1,2,2,2,2,1,1,4,4,1,3,1,1,2,3,1,3,1,3,3,3,0,0,4,4,3,3,2,3,4,4,2,2,3,1,3,1,1,3,1,1
"14","M073980","M747","2G","DO051914NFMF015","NFMF",201,12,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073980_M747_2G",4,4,3,3,6,6,3,3,4,1,2,2,2,3,1,3,1,1,2,3,1,1,2,1,4,4,4,4,1,1,1,1,3,1,2,1,3,1,3,4,2,2,1,1,2,4,1,4,1,1,3,3,2,4,4,4,3,1,3,3,3,3,2,2,3,4,1,1,1,1,2,1,2,2,4,1,4,2,1,1,3,3,1,1,3,3,3,3,1,1,1,1,1,3,2,2,1,3,1,3,1,1,3,3,3,3,3,3,2,2,4,1,3,3,1,1,1,1,3,3,2,3,3,1,4,1,4,4,1,1,1,1,1,1,4,4,1,1,3,3,2,4,1,1,3,3,3,3,4,4,3,4,2,2,2,1,2,2,2,2,4,4,1,1,1,1,2,3,1,3,3,3,3,3,4,4,4,4,3,3,2,3,4,4,2,2,3,1,3,1,3,3,1,1
"15","M073981","M747","2H","DO051914NFMF021","NFMF",211,13,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073981_M747_2H",4,4,3,3,7,6,1,1,4,4,2,1,2,2,1,3,1,1,3,3,1,1,2,2,4,4,4,4,1,3,3,1,1,1,0,0,3,1,3,3,2,2,1,1,2,4,4,4,4,1,0,0,2,4,4,1,1,1,4,4,3,4,2,4,3,4,1,1,2,1,2,2,2,2,4,1,2,2,1,1,3,1,1,1,1,1,3,3,4,1,1,1,3,3,2,2,3,3,3,3,1,1,3,3,3,3,3,1,2,1,4,1,3,1,1,1,1,1,3,3,2,3,1,1,1,1,4,4,1,1,3,1,2,1,4,4,1,1,3,3,2,4,2,2,3,3,3,1,4,4,3,4,2,2,2,1,2,2,1,1,4,2,3,3,1,1,2,3,1,3,3,3,1,3,4,4,2,4,3,3,2,3,2,4,2,2,3,3,3,3,1,1,1,3
"16","M073982","M747","3A","DO051914NFMF011","NFMF",211,12,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073982_M747_3A",2,4,3,3,6,6,3,1,4,4,2,2,2,3,3,3,2,1,3,3,1,1,2,2,4,4,1,4,1,3,3,3,3,1,1,1,3,1,4,4,4,2,1,1,2,2,4,4,1,1,0,0,2,4,1,1,3,1,3,4,3,3,4,4,3,3,1,3,1,1,2,1,2,2,0,0,2,2,1,1,3,3,1,1,3,3,3,3,4,1,2,1,3,3,2,1,3,3,3,3,3,1,3,1,3,4,3,1,2,2,4,4,3,1,1,1,1,1,1,3,2,2,1,1,4,1,4,4,1,1,3,3,1,1,4,4,1,1,3,3,2,2,2,2,1,3,1,1,4,2,3,3,2,1,2,2,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,4,4,2,4,3,3,2,2,4,4,2,2,3,3,3,3,3,3,1,3
"17","M073983","M747","3B","DO051914NFMF009","NFMF",239,12,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073983_M747_3B",4,4,3,3,6,6,3,3,4,1,2,1,2,3,1,3,2,1,3,3,1,1,2,2,4,4,1,1,1,3,1,1,3,1,2,1,3,1,4,4,2,2,1,1,2,2,1,4,1,1,3,1,2,2,4,1,3,1,3,3,3,3,4,4,3,4,1,1,1,1,2,1,2,2,4,1,2,2,3,3,1,1,1,1,3,3,3,3,4,1,1,1,3,3,2,2,3,3,3,3,3,1,3,1,3,4,3,3,2,1,4,4,3,3,1,1,1,1,3,3,3,3,3,1,1,1,4,4,1,1,1,1,2,1,4,4,1,1,3,3,2,4,2,1,3,3,1,1,4,2,3,4,2,1,2,2,2,2,2,1,4,2,1,1,1,1,2,3,1,3,1,3,1,3,4,4,4,4,3,3,3,3,2,4,2,2,3,1,3,3,1,1,1,3
"18","M073984","M747","3C","DO051914NFMF003","NFMF",239,13,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073984_M747_3C",4,4,3,3,7,6,3,3,4,4,2,2,2,3,3,3,1,1,3,3,1,4,2,2,4,4,1,1,1,3,3,1,3,1,2,2,3,1,3,4,2,2,1,1,2,2,4,4,1,1,1,1,2,2,4,1,1,1,4,4,3,4,2,4,3,3,1,1,2,1,1,1,2,2,4,1,2,2,3,3,3,1,1,1,1,3,3,3,1,1,1,1,1,3,2,2,1,3,3,3,1,1,3,3,3,4,3,3,2,1,4,4,3,1,1,1,1,1,1,3,2,3,1,1,1,1,2,4,1,4,1,1,1,1,2,2,1,1,3,3,4,4,2,2,1,1,3,3,4,2,4,4,1,1,2,2,2,2,1,1,4,4,1,1,1,1,3,3,1,1,1,3,1,3,4,4,4,4,3,3,2,2,2,4,2,2,1,1,3,1,1,1,3,3
"19","M073985","M747","3D","DO051914NFMF005","NFMF",NA,13,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073985_M747_3D",2,4,3,3,7,6,1,1,4,4,2,2,2,3,3,3,1,1,3,3,1,1,2,1,4,4,1,1,1,3,3,1,3,3,2,1,3,1,3,4,4,4,1,1,2,4,4,4,1,1,3,3,4,4,4,4,1,1,3,4,3,3,4,4,3,4,1,1,1,1,2,2,2,2,4,4,2,2,1,3,3,1,1,1,1,1,3,3,4,1,2,1,3,3,2,1,3,3,3,3,1,1,3,3,4,4,3,3,2,2,4,1,3,3,1,1,4,1,1,3,2,3,1,1,1,1,2,4,1,1,1,1,1,1,4,4,1,1,3,3,2,4,2,1,1,1,3,1,4,2,3,4,2,2,2,2,2,2,1,1,4,2,3,3,1,1,2,3,1,3,1,1,1,1,4,1,4,4,3,3,3,3,2,4,2,2,3,1,3,1,3,3,3,3
"20","M073986","M747","3E","IC051914NFMF006","NFMF",229,12,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073986_M747_3E",4,4,3,3,6,6,3,1,4,4,2,2,3,3,1,3,2,2,3,3,1,1,2,1,4,4,4,4,1,1,3,3,1,1,2,2,1,1,3,3,2,2,1,1,2,4,4,4,1,1,1,1,4,4,4,4,1,1,3,4,3,3,2,2,3,3,1,1,1,1,2,2,2,1,4,1,4,2,1,1,3,3,1,1,3,3,3,3,4,1,1,1,3,3,2,2,1,3,3,3,1,1,3,1,3,3,3,3,2,2,4,4,3,1,2,2,1,1,1,3,2,3,1,1,1,1,2,4,4,4,1,1,2,2,4,4,2,1,3,3,2,4,2,2,1,1,1,1,2,2,0,0,2,2,2,2,2,2,2,1,4,2,1,1,1,1,3,3,1,1,1,3,3,3,4,4,4,4,1,1,3,3,4,4,2,2,3,3,3,3,1,1,1,3
"21","M073987","M747","3F","IC051914NFMF002","NFMF",152,12,"5/19/14",NA,"CC","6/22/14","American River","Middle Fork American River","North Fork Middle Fork American River","",NA,"","M073987_M747_3F",4,4,3,3,6,6,1,1,4,1,2,1,2,3,3,3,1,1,2,3,1,1,2,1,1,4,1,4,1,3,3,1,3,3,2,1,3,3,3,3,2,2,1,1,4,4,4,4,4,4,1,1,2,4,4,1,1,1,3,4,3,3,2,4,4,4,1,1,2,1,2,1,2,1,4,1,2,2,1,1,1,1,1,1,3,3,3,3,4,1,1,1,3,3,2,2,3,3,3,3,1,1,3,3,3,4,3,3,2,2,4,1,3,3,1,1,4,1,3,3,2,3,3,3,4,4,4,4,1,1,1,1,1,1,4,4,1,1,1,1,2,4,2,2,1,3,3,3,4,2,4,4,2,2,2,2,2,2,1,1,4,2,1,3,1,4,2,3,1,3,1,3,1,3,4,1,4,4,1,3,3,3,2,4,2,2,3,3,3,3,1,3,1,1
